name,list_344,sncr_type
acetildiidrocodeina,A2,NRA
acetilmetadol,A1,NRA
alfacetilmetadol,A1,NRA
alfameprodina,A1,NRA
alfametadol,A1,NRA
alfaprodina,A1,NRA
alfentanila,A1,NRA
alilprodina,A1,NRA
anfetamina,A3,NRA
anileridina,A1,NRA
benzetidina,A1,NRA
benzilmorfina,A1,NRA
benzoilmorfina,A1,NRA
betacetilmetadol,A1,NRA
betameprodina,A1,NRA
betametadol,A1,NRA
betaprodina,A1,NRA
bezitramida,A1,NRA
buprenorfina,A1,NRA
butorfanol,A1,NRA
catina,A3,NRA
clonitazeno,A1,NRA
clorfentermina,A3,NRA
codeína,A2,NRA
codoxima,A1,NRA
concentrado de palha de dormideira,A1,NRA
dexanfetamina,A3,NRA
dextromoramida,A1,NRA
dextropropoxifeno,A2,NRA
diampromida,A1,NRA
dietiltiambuteno,A1,NRA
difenoxilato,A1,NRA
difenoxina,A1,NRA
diidrocodeína,A2,NRA
diidromorfina,A1,NRA
dimefeptanol (metadol),A1,NRA
dimenoxadol,A1,NRA
dimetiltiambuteno,A1,NRA
dioxafetila,A1,NRA
dipipanona,A1,NRA
dronabinol,A3,NRA
drotebanol,A1,NRA
etilmetiltiambuteno,A1,NRA
etilmorfina,A2,NRA
etonitazeno,A1,NRA
etoxeridina,A1,NRA
femetrazina,A3,NRA
fenadoxona,A1,NRA
fenampromida,A1,NRA
fenazocina,A1,NRA
fenciclidina,A3,NRA
fenetilina,A3,NRA
fenfluramina,A3,NRA
fenomorfano,A1,NRA
fenoperidina,A1,NRA
fentanila,A1,NRA
folcodina,A2,NRA
furetidina,A1,NRA
hidrocodona,A1,NRA
hidromorfinol,A1,NRA
hidromorfona,A1,NRA
hidroxipetidina,A1,NRA
"intermediário ""a"" da petidina (4-ciano-1-metil-4-fenilpiperidina)",A1,NRA
"intermediário ""b"" da petidina (éster etílico do ácido 4-fenilpiperidina-4-carboxilíco)",A1,NRA
"intermediário ""c"" da petidina (ácido-1-metil-4-fenilpiperidina-4-carboxílico)",A1,NRA
"intermediário da metadona (4-ciano-2-dimetilamina-4,4-difenilbutano)",A1,NRA
"intermediário da moramida (ácido 2-metil-3-morfolina-1,1-difenilpropano carboxílico)",A1,NRA
isometadona,A1,NRA
levanfetamina,A3,NRA
levofenacilmorfano,A1,NRA
levometorfano,A1,NRA
levomoramida,A1,NRA
levorfanol,A1,NRA
lisdexanfetamina,A3,NRA
metadona,A1,NRA
metazocina,A1,NRA
metildesorfina,A1,NRA
metildiidromorfina,A1,NRA
metilfenidato,A3,NRA
metilsinefrina,A3,NRA
metopona,A1,NRA
mirofina,A1,NRA
morferidina,A1,NRA
morfina,A1,NRA
morinamida,A1,NRA
n-oxicodeína,A1,NRA
n-oximorfina,A1,NRA
nalbufina,A2,NRA
nalorfina,A2,NRA
nicocodina,A2,NRA
nicodicodina,A2,NRA
nicomorfina,A1,NRA
noracimetadol,A1,NRA
norcodeína,A2,NRA
norlevorfanol,A1,NRA
normetadona,A1,NRA
normorfina,A1,NRA
norpipanona,A1,NRA
ópio,A1,NRA
oripavina,A1,NRA
oxicodona,A1,NRA
oximorfona,A1,NRA
petidina,A1,NRA
piminodina,A1,NRA
piritramida,A1,NRA
proeptazina,A1,NRA
properidina,A1,NRA
propiram,A2,NRA
racemetorfano,A1,NRA
racemoramida,A1,NRA
racemorfano,A1,NRA
remifentanila,A1,NRA
sufentanila,A1,NRA
tanfetamina,A3,NRA
tapentadol,A1,NRA
tebacona,A1,NRA
tebaína,A1,NRA
tilidina,A1,NRA
tramadol,A2,NRA
trimeperidina,A1,NRA
viminol,A1,NRA
ftalimidoglutarimida (talidomida),C3,NRT
lenalidomida,C3,NRT
pomalidomida,C3,NRT
aminorex,B2,NRB2
anfepramona,B2,NRB2
femproporex,B2,NRB2
fendimetrazina,B2,NRB2
fentermina,B2,NRB2
mazindol,B2,NRB2
mefenorex,B2,NRB2
sibutramina,B2,NRB2
alfaxalona,B1,NRB
alobarbital,B1,NRB
alprazolam,B1,NRB
amineptina,B1,NRB
amobarbital,B1,NRB
aprobarbital,B1,NRB
armodafinila,B1,NRB
barbexaclona,B1,NRB
barbital,B1,NRB
bromazepam,B1,NRB
bromazolam,B1,NRB
brotizolam,B1,NRB
butabarbital,B1,NRB
butalbital,B1,NRB
camazepam,B1,NRB
carisoprodol,B1,NRB
cetamina,B1,NRB
cetazolam,B1,NRB
ciclobarbital,B1,NRB
clobazam,B1,NRB
clonazepam,B1,NRB
clonazolam,B1,NRB
clorazepam,B1,NRB
clorazepato,B1,NRB
clordiazepóxido,B1,NRB
cloreto de etila,B1,NRB
cloreto de metileno/diclorometano,B1,NRB
clotiazepam,B1,NRB
cloxazolam,B1,NRB
delorazepam,B1,NRB
diazepam,B1,NRB
diclazepam,B1,NRB
escetamina,B1,NRB
estazolam,B1,NRB
eszopiclona,B1,NRB
etclorvinol,B1,NRB
etilanfetamina (n-etilanfetamina),B1,NRB
etinamato,B1,NRB
etizolam,B1,NRB
fenazepam,B1,NRB
fenobarbital,B1,NRB
flualprazolam,B1,NRB
flubromazolam,B1,NRB
fludiazepam,B1,NRB
flunitrazepam,B1,NRB
flunitrazolam,B1,NRB
flurazepam,B1,NRB
gbl,B1,NRB
ghb - (ácido gama - hidroxibutírico),B1,NRB
glutetimida,B1,NRB
halazepam,B1,NRB
haloxazolam,B1,NRB
lefetamina,B1,NRB
