Secretaria Executiva - CMED;;;;;;;
LISTA DE PREÇOS DE MEDICAMENTOS - PREÇOS FÁBRICA E MÁXIMOS DE VENDA AO GOVERNO;;;;;;;
Publicada em 21/07/2026 17h30min.;;;;;;;
;;;;;;;
"Recorte de amostra: as colunas de preço foram omitidas de propósito — a carga procura as colunas pelo nome, não pela posição.";;;;;;;
SUBSTÂNCIA;LABORATÓRIO;REGISTRO;EAN 1;PRODUTO;APRESENTAÇÃO;TARJA;COMERCIALIZAÇÃO 2025
CLORIDRATO DE TRAMADOL;LABORATÓRIO ALFA LTDA;1.2345.0001.001-1;7891000000011;DORLESS;50 MG CAP DURA CT BL AL PLAS TRANS X 20;Tarja Vermelha sob restrição;Sim
AMOXICILINA TRI-HIDRATADA;LABORATÓRIO BETA LTDA;1234500020021;7891000000028;AMOXIBETA;500 MG/5 ML PO SUS OR CT FR VD AMB X 150 ML;Tarja Vermelha sob restrição;Sim
CIPROFLOXACINO MONOIDRATADO;LABORATÓRIO BETA LTDA;1234500030031;7891000000035;CIPROBETA;500 MG COM REV CT BL AL PLAS TRANS X 14;Tarja Vermelha sob restrição;Sim
"LEVODOPA;CARBIDOPA (PORT. 344/98 LISTA C 1)";LABORATÓRIO GAMA LTDA;1234500040041;7891000000042;PARKIGAMA;250 MG + 25 MG COM CT BL AL PLAS X 30;Tarja Vermelha sob restrição;Sim
CLONAZEPAM;LABORATÓRIO GAMA LTDA;1234500050051;    -     ;RIVOGAMA;2 MG COM CT BL AL PLAS X 30;Tarja Preta;Sim
DIPIRONA MONOIDRATADA;LABORATÓRIO ALFA LTDA;1234500060061;7891000000066;DORALFA;500 MG COM CT BL AL PLAS X 10;Tarja Sem Tarja;Sim
SULFADIAZINA DE PRATA;LABORATÓRIO ALFA LTDA;1234500070071;7891000000073;QUEIMALFA;10 MG/G CREM DERM CT BG AL X 30 G;- (*) ;Não
ACEBROFILINA;LABORATÓRIO BETA LTDA;1234500080081;7891000000080;RESPIBETA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;Tarja Vermelha;Não
ACEBROFILINA;LABORATÓRIO BETA LTDA;1234500080099;7891000000080;RESPIBETA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Tarja Vermelha;Sim
DIPIRONA MONOIDRATADA;LABORATÓRIO ALFA LTDA;1234500060061;7891000000066;DORALFA;500 MG COM CT BL AL PLAS X 10;Tarja Sem Tarja;Sim
